かううんき	耕運機	名詞	詩韻,同音の漢字による書きかえ（運）
かぅうんき	耕耘機	名詞	広韻
かううんき	耕耘機	名詞	詩韻
かうかう	高校	名詞	詩韻
かうかう	鏗鏗	名詞形動	詩韻
かうかうせい	高校生	名詞	詩韻
かうかく	磽埆	名詞形動	詩韻
がうくゎ	豪華	名詞形動	詩韻
かうさ	交叉	名詞サ変	詩韻
かうさ	交差	名詞サ変	詩韻,同音の漢字による書きかえ（差）
かぅしん	昂進	名詞サ変	広韻
かうしん	昂進	名詞サ変	詩韻
かうしん	高進	名詞サ変	詩韻,同音の漢字による書きかえ（高）
かぅしん	亢進	名詞サ変	広韻
かうしん	亢進	名詞サ変	詩韻
かうぞ	カウゾ	名詞	歴史的仮名遣い
かうぞ	楮	名詞	歴史的仮名遣い
かうぢ	麹	名詞	歴史的仮名遣い
かぅでん	香典	名詞	広韻,同音の漢字による書きかえ（典）
かうでん	香典	名詞	詩韻,同音の漢字による書きかえ（典）
かぅでん	香奠	名詞	広韻
かうでん	香奠	名詞	詩韻
かうとうがっかう	高等学校	名詞	詩韻
かうはん	撹拌	名詞サ変	詩韻,簡易慣用字体
かうはん	攪拌	名詞サ変	詩韻
かうふん	興奮	名詞サ変	詩韻,同音の漢字による書きかえ（興）
かぅふん	昂奮	名詞サ変	広韻
かうふん	昂奮	名詞サ変	詩韻
かぅふん	亢奮	名詞サ変	広韻
かうふん	亢奮	名詞サ変	詩韻
かうもり	カウモリ	名詞	歴史的仮名遣い
かうもり	蝙蝠	名詞	歴史的仮名遣い,熟字訓
かうりょく	効力	名詞	詩韻
かうゐ	行為	名詞サ変	詩韻
かえん	火炎	名詞	同音の漢字による書きかえ（炎）
かえん	火焔	名詞
かえん	火焰	名詞
かかづら	係	動詞ハ行四段	歴史的仮名遣い
かかは	関は	動詞ラ行五段	歴史的仮名遣い
かきかへ	書き換へ	動詞一段	歴史的仮名遣い
かくしつ	確執	名詞	慣用音（執）
かくしふ	確執	名詞	詩韻
かくしゅう	確執	名詞
かくとう	格闘	名詞サ変	同音の漢字による書きかえ（格）
かくとう	挌闘	名詞サ変
かくま	匿ま	動詞ハ行四段	歴史的仮名遣い
かこ	囲	動詞ハ行四段	歴史的仮名遣い
かじょうがき	箇条書き	名詞サ変
かじょうがき	個条書き	名詞サ変	同音の漢字による書きかえ（個）
かたう	勝たう	終助詞	歴史的仮名遣い,四段動詞のウ形
かっかう	格好	名詞	詩韻,同音の漢字による書きかえ（格）
がっかう	学校	名詞	詩韻
かっかう	恰好	名詞	詩韻
かっこ	確乎	名詞形動
かっこ	確固	名詞形動	同音の漢字による書きかえ（固）
かっこう	格好	名詞	同音の漢字による書きかえ（格）
かっこう	恰好	名詞
かっし	甲子	名詞
かっぱつ	活溌	名詞形動
かっぱつ	活発	名詞形動	同音の漢字による書きかえ（発）
かっぱつ	活潑	名詞形動
かっぷく	格幅	名詞	同音の漢字による書きかえ（格）
かっぷく	恰幅	名詞
かつゑ	餓ゑ	動詞一段	歴史的仮名遣い
かつゑ	飢ゑ	動詞一段	歴史的仮名遣い
かつを	鰹	名詞	歴史的仮名遣い
かでうがき	箇条書き	名詞サ変	詩韻
かでうがき	個条書き	名詞サ変	詩韻,同音の漢字による書きかえ（個）
かなづかひ	仮名遣ひ	名詞	歴史的仮名遣い
かのぢょ	彼女	名詞	詩韻
かは	川	名詞	歴史的仮名遣い
かは	代は	動詞ラ行五段	歴史的仮名遣い
かば	庇	動詞ハ行四段	歴史的仮名遣い
かは	変は	動詞ラ行五段	歴史的仮名遣い
かはい	かはい	形容詞	歴史的仮名遣い
かはい	可愛	形容詞	歴史的仮名遣い,当て字
かはいさう	かはいさう	名詞形動	歴史的仮名遣い
かはせ	為替	名詞	歴史的仮名遣い
かひしゃう	甲斐性	名詞	歴史的仮名遣い,詩韻
かふし	甲子	名詞	詩韻,慣用読み
がふべん	合弁	名詞	詩韻,同音の漢字による書きかえ（弁）,慣用音（合）
がふべん	合辦	名詞	詩韻,慣用音（合）
かへ	かへ	動詞一段	歴史的仮名遣い
かへ	還	動詞サ行五段	歴史的仮名遣い
かへ	還	動詞ラ行五段	歴史的仮名遣い
かへ	帰	動詞サ行五段	歴史的仮名遣い
かへ	帰	動詞ラ行五段	歴史的仮名遣い
かへ	代へ	動詞一段	歴史的仮名遣い
かへ	変へ	動詞一段	歴史的仮名遣い
かへ	返	動詞サ行五段	歴史的仮名遣い
かへ	返	動詞ラ行五段	歴史的仮名遣い
かへ	孵	動詞サ行五段	歴史的仮名遣い
かへ	孵	動詞ラ行五段	歴史的仮名遣い
かほ	顔	名詞	歴史的仮名遣い
かむすう	関数	名詞	広韻,同音の漢字による書きかえ（関）
かむすう	函数	名詞	広韻
かよ	通	動詞ハ行四段	歴史的仮名遣い
からか	からか	動詞ハ行四段	歴史的仮名遣い
からか	誂	動詞ハ行四段	歴史的仮名遣い
かを	香	動詞ラ行五段	歴史的仮名遣い
かんこう	鉗口	名詞	慣用音（鉗）
かんこうれい	箝口令	名詞	慣用音（箝）
かんじん	肝心	名詞形動	同音の漢字による書きかえ（心）
かんじん	肝腎	名詞形動
かんすう	関数	名詞	同音の漢字による書きかえ（関）
かんすう	函数	名詞
かんろく	貫禄	名詞
かんろく	貫録	名詞	同音の漢字による書きかえ（録）
きいうきょく	喜遊曲	名詞	詩韻,同音の漢字による書きかえ（喜）
きいうきょく	嬉遊曲	名詞	詩韻
きうくゎんてう	九官鳥	名詞	詩韻
きうり	きうり	名詞	歴史的仮名遣い
きうり	キウリ	名詞	歴史的仮名遣い
ぎえん	義援	名詞サ変	同音の漢字による書きかえ（援）
ぎえん	義捐	名詞サ変
きき	喜々	名詞形動	同音の漢字による書きかえ（喜）
きき	嬉々	名詞形動
きしょう	希少	名詞形動	同音の漢字による書きかえ（希）
きしょう	稀少	名詞形動
きせう	希少	名詞形動	詩韻,同音の漢字による書きかえ（希）
きせう	稀少	名詞形動	詩韻
きせき	奇跡	名詞	同音の漢字による書きかえ（跡）
きせき	奇蹟	名詞
きそ	競	動詞ハ行四段	歴史的仮名遣い
きそん	棄損	名詞サ変	同音の漢字による書きかえ（棄）
きそん	毀損	名詞サ変
きづか	気遣	動詞ハ行四段	歴史的仮名遣い
きっこう	桔槹	名詞	慣用音（桔）
きっさ	譎詐	名詞	慣用音（譎）
きのふ	昨日	名詞	歴史的仮名遣い
きはく	気迫	名詞	同音の漢字による書きかえ（迫）
きはく	気魄	名詞
きふしう	吸収	名詞サ変	詩韻
きべん	危弁	名詞	同音の漢字による書きかえ（危）
きべん	奇弁	名詞	同音の漢字による書きかえ（奇）
きべん	詭弁	名詞
きむこ	禁固	名詞サ変	広韻,同音の漢字による書きかえ（固）
きむこ	禁錮	名詞サ変	広韻
きもちわるい	気持悪い	抑制単語
きゃう	強	接尾一般	詩韻
きゃぅえん	饗宴	名詞	広韻
きゃうえん	饗宴	名詞	詩韻
ぎゃうずい	行水	名詞サ変	詩韻
きゃうだい	兄弟	名詞	詩韻
きゆうきょく	喜遊曲	名詞	同音の漢字による書きかえ（喜）
きゆうきょく	嬉遊曲	名詞
きゅぅだう	弓道	名詞	広韻
きゅうだう	弓道	名詞	詩韻
きょぅえん	供宴	名詞	広韻,同音の漢字による書きかえ（供）
きょうえん	供宴	名詞	同音の漢字による書きかえ（供）
きょうえん	饗宴	名詞
ぎょうかく	磽埆	名詞形動	慣用音（磽）
きょうき	兇器	名詞
きょぅき	兇器	名詞	広韻
きょぅき	凶器	名詞	広韻,同音の漢字による書きかえ（凶）
きょうき	凶器	名詞	同音の漢字による書きかえ（凶）
きょうとうほ	橋頭保	名詞	同音の漢字による書きかえ（保）
きょうとうほ	橋頭堡	名詞
きょぅやく	共役	名詞形動	広韻,同音の漢字による書きかえ（役）
きょうやく	共役	名詞形動	同音の漢字による書きかえ（役）
きょうやく	共軛	名詞形動
きょぅやく	共軛	名詞形動	広韻
きょきむ	拠金	名詞サ変	広韻,同音の漢字による書きかえ（拠）
きょきむ	醵金	名詞サ変	広韻
きょきん	拠金	名詞サ変	同音の漢字による書きかえ（拠）
きょきん	醵金	名詞サ変
きょしゅつ	拠出	名詞サ変	同音の漢字による書きかえ（拠）
きょしゅつ	醵出	名詞サ変
ぎょらう	漁労	名詞	詩韻,同音の漢字による書きかえ（労）
ぎょらう	漁撈	名詞	詩韻
ぎょろう	漁労	名詞	同音の漢字による書きかえ（労）
ぎょろう	漁撈	名詞
きら	嫌	動詞ハ行四段	歴史的仮名遣い
ぎりゃう	伎倆	名詞	詩韻
ぎりゃう	技量	名詞	詩韻,同音の漢字による書きかえ（量）
ぎりゃう	技倆	名詞	詩韻
ぎりょう	伎倆	名詞
ぎりょう	技量	名詞	同音の漢字による書きかえ（量）
ぎりょう	技倆	名詞
きんこ	禁固	名詞サ変	同音の漢字による書きかえ（固）
きんこ	禁錮	名詞サ変
きんせい	均整	名詞	同音の漢字による書きかえ（整）
きんせい	均斉	名詞
く	食	動詞ハ行四段	歴史的仮名遣い
くい	悔い	動詞一段	歴史的仮名遣い,「悔ゐる」ではない。
くかく	区画	名詞	同音の漢字による書きかえ（画）
くかく	区劃	名詞
くっさく	掘削	名詞サ変	同音の漢字による書きかえ（削）
くっさく	掘鑿	名詞サ変
くはし	詳し	形容詞	歴史的仮名遣い
くはへ	加へ	動詞一段	歴史的仮名遣い
くみあは	組み合は	動詞サ行五段	歴史的仮名遣い
くみあはせ	組み合はせ	動詞一段	歴史的仮名遣い
くもまく	蜘蛛膜	名詞	慣用読み
くやう	供養	名詞サ変	詩韻
くらゐ	くらゐ	名詞	歴史的仮名遣い
ぐらゐ	ぐらゐ	名詞	歴史的仮名遣い,「くらゐ」の有声化
くらゐ	位	名詞	歴史的仮名遣い
ぐらゐ	位	名詞	歴史的仮名遣い,「くらゐ」の有声化
くる	狂	動詞ハ行四段	歴史的仮名遣い
くれなゐ	紅	名詞	歴史的仮名遣い
くゎ	化	動詞サ行五段	詩韻
くゎいいう	回遊	名詞サ変	詩韻,同音の漢字による書きかえ（遊）
くゎいいう	回游	名詞サ変	詩韻
くゎいぐゎ	絵画	名詞	詩韻
ぐゎいくゎ	外貨	名詞	詩韻
ぐゎいこく	外国	名詞	詩韻
ぐゎいこくかはせ	外国為替	名詞	歴史的仮名遣い,詩韻
ぐゎいせん	外旋	名詞サ変	詩韻
くゎいてん	回転	名詞サ変	詩韻,同音の漢字による書きかえ（回）
くゎいてん	廻転	名詞サ変	詩韻
ぐゎいてん	外転	名詞サ変	詩韻
くゎぅうん	広韻	名詞	広韻
くゎううん	広韻	名詞	詩韻
くゎうくゎう	煌煌	名詞形動	詩韻
くゎうし	鉱滓	名詞	詩韻
くゎぅせき	鉱石	名詞	広韻,同音の漢字による書きかえ（鉱）
くゎうせき	鉱石	名詞	詩韻,同音の漢字による書きかえ（鉱）
くゎぅせき	礦石	名詞	広韻
くゎうせき	礦石	名詞	詩韻
くゎうは	広播	名詞サ変	詩韻
くゎぅはむ	広汎	名詞形動	広韻
くゎぅはむ	広範	名詞形動	広韻,同音の漢字による書きかえ（範）
くゎうはん	広汎	名詞形動	詩韻
くゎうはん	広範	名詞形動	詩韻,同音の漢字による書きかえ（範）
くゎぅほう	広報	名詞	広韻,同音の漢字による書きかえ（広）
くゎうほう	広報	名詞	詩韻,同音の漢字による書きかえ（広）
くゎぅや	広野	名詞	広韻,同音の漢字による書きかえ（広）
くゎうや	広野	名詞	詩韻,同音の漢字による書きかえ（広）
くゎぅや	曠野	名詞	広韻
くゎうや	曠野	名詞	詩韻
くゎぅゐん	広韻	名詞	広韻,慣用音（韻）
くゎうゐん	広韻	名詞	詩韻,慣用音（韻）
くゎえむ	火炎	名詞	広韻,同音の漢字による書きかえ（炎）
くゎえむ	火焔	名詞	広韻
くゎえむ	火焰	名詞	広韻
くゎえん	火炎	名詞	詩韻,同音の漢字による書きかえ（炎）
くゎえん	火焔	名詞	詩韻
くゎえん	火焰	名詞	詩韻
くゎくとく	獲得	名詞サ変	詩韻
くゎし	菓子	名詞	詩韻
くゎっこ	括弧	名詞サ変	詩韻
くゎみんしゃう	過眠症	名詞	詩韻
ぐゎれき	瓦礫	名詞	詩韻
くわゐ	慈姑	名詞	歴史的仮名遣い
くゎんえふ	観葉	名詞	詩韻
くゎんえふしょくぶつ	観葉植物	名詞	詩韻
ぐゎんぐ	玩具	名詞	詩韻
くゎんよう	寛容	名詞	詩韻
くゎんろく	貫禄	名詞	詩韻
くゎんろく	貫録	名詞	詩韻,同音の漢字による書きかえ（録）
くゐそん	棄損	名詞サ変	広韻,同音の漢字による書きかえ（棄）
くゐそん	毀損	名詞サ変	広韻
くゐべん	危弁	名詞	広韻,同音の漢字による書きかえ（危）
くゐべん	詭弁	名詞	広韻
くゐゃぅだい	兄弟	名詞	広韻
ぐゑつえうび	月曜日	名詞	広韻
くゑんくゎ	喧嘩	名詞サ変	広韻
ぐゑんれう	原料	名詞	広韻
ぐゑんわく	幻惑	名詞サ変	広韻,同音の漢字による書きかえ（幻）
ぐゑんわく	眩惑	名詞サ変	広韻
くんかい	訓戒	名詞サ変	同音の漢字による書きかえ（戒）
くんかい	訓誡	名詞サ変
ぐんじゃう	群青	名詞	詩韻
くんじょう	薫蒸	名詞サ変	慣用音（蒸）,同音の漢字による書きかえ（薫）
くんじょぅ	薫蒸	名詞サ変	広韻,慣用音（蒸）,同音の漢字による書きかえ（薫）
くんじょう	燻蒸	名詞サ変	慣用音（蒸）
くんじょぅ	燻蒸	名詞サ変	広韻,慣用音（蒸）
くんせい	薫製	名詞	同音の漢字による書きかえ（薫）
くんせい	燻製	名詞
けいかう	傾向	名詞	詩韻
けぃけん	敬謙	名詞形動	広韻,同音の漢字による書きかえ（謙）
けいけん	敬謙	名詞形動	同音の漢字による書きかえ（謙）
けいけん	敬虔	名詞形動
けぃけん	敬虔	名詞形動	広韻
けいゐ	経緯	名詞	詩韻
けういく	教育	名詞サ変	詩韻
けうしつ	教室	名詞	詩韻
けうじゅ	教授	名詞サ変	詩韻
けうとうほ	橋頭保	名詞	詩韻,同音の漢字による書きかえ（保）
けうとうほ	橋頭堡	名詞	詩韻
げきかぅ	激昂	名詞サ変	広韻,慣用音
げきかう	激昂	名詞サ変	詩韻,慣用音
げきかう	激高	名詞サ変	詩韻,同音の漢字による書きかえ（高）,慣用音（激）
げきこう	激昂	名詞サ変	慣用音
げきこう	激高	名詞サ変	慣用音,同音の漢字による書きかえ（高）
げつえうび	月曜日	名詞	詩韻
けっかい	決壊	名詞サ変	同音の漢字による書きかえ（壊）
けっかい	決潰	名詞サ変
けっき	決起	名詞サ変	同音の漢字による書きかえ（決）
けっき	蹶起	名詞サ変
けっこう	桔槹	名詞
けっさ	譎詐	名詞
けつべつ	決別	名詞サ変	同音の漢字による書きかえ（決）
けつべつ	訣別	名詞サ変
けふ	今日	名詞	歴史的仮名遣い
げふかい	業界	名詞	詩韻
げんか	弦歌	名詞	同音の漢字による書きかえ（弦）
げんか	絃歌	名詞
げんかう	減耗	名詞サ変	詩韻
けんかふこつ	肩甲骨	名詞	詩韻,同音の漢字による書きかえ（甲）
けんかふこつ	肩胛骨	名詞	詩韻
けんくゎ	喧嘩	名詞サ変	詩韻
げんこう	減耗	名詞サ変
けんこう	鉗口	名詞
けんこうこつ	肩甲骨	名詞	同音の漢字による書きかえ（甲）
けんこうこつ	肩胛骨	名詞
けんこうれい	箝口令	名詞
げんぜん	厳然	名詞形動	同音の漢字による書きかえ（厳）
げんぜん	儼然	名詞形動
けんそ	険阻	名詞形動	同音の漢字による書きかえ
けんそ	嶮岨	名詞形動
けんぺいりつ	建坪率	名詞	同音の漢字による書きかえ（坪）
けんぺいりつ	建蔽率	名詞
げんもう	減耗	名詞サ変	慣用音（耗）
げんりゃう	減量	名詞サ変	詩韻
げんれう	原料	名詞	詩韻
